Node Number =    6212
          6937.66455         12960.81250            13.87112
          7137.62598         12960.81250            13.87311
          7337.58789         12960.81250            13.87393
          7537.54980         12960.81250            13.84852
          7737.51123         12960.81250            13.87475
          7937.47314         12960.81250            13.87474
          8137.43506         12960.81250            13.87473
          8337.39648         12960.81250            13.87472
          8537.35840         12960.81250            13.87584
          8737.32031         12960.81250            13.87470
          8937.28223         12960.81250            13.87215
          9137.24316         12960.81250            13.87467
          9337.20508         12960.81250            13.87466
          9537.16699         12960.81250            13.87330
          9737.12891         12960.81250            13.87027
          9937.09082         12960.81250            13.87089
         10137.05176         12960.81250            13.88097
         10337.01367         12960.81250            13.87506
         10536.97559         12960.81250            13.83427
         10736.93750         12960.81250            13.87098
         10936.89941         12960.81250            13.87285
         11136.86035         12960.81250            13.87720
         11336.82227         12960.81250            13.87455
         11536.78418         12960.81250            13.87320
         11736.74609         12960.81250            13.87013
         11936.70801         12960.81250            13.87079
         12136.66895         12960.81348            13.88093
         12336.62988         12960.81055            13.87498
         12536.58105         12960.82520            13.83425
         12736.55664         12960.80859            13.87090
         12936.46387         12960.87793            13.87280
         13136.51270         12960.83203            13.87714
         13336.47461         12960.81055            13.87444
         13536.45020         12960.82422            13.87314
         13736.49805         12960.29590            13.86930
         13936.06152         12962.24219            13.87274
         14141.91211         12968.52832            13.89114
         14334.49414         12882.80566            13.72597
         14507.06836         12792.74414            13.59181
         14680.62598         12903.93555            13.76815
         14853.65527         12776.00781            13.57623
         15026.79395         12848.05469            13.65020
         15200.00000         12800.00000            13.60000
           173.19673         12643.45703            13.32247
             0.00000         12600.00000            13.28000
           346.40085         12526.93066            13.17753
           519.81287         12626.69043            13.32191
           694.25488         12727.60352            13.50132
           867.50226         12629.17773            13.31054
          1057.83289         12710.53418            13.46267
          1286.72119         12713.60059            13.46767
          1465.16882         12792.80762            13.57655
          1648.55200         12784.19238            13.58610
          1845.16357         12785.66211            13.58809
          2045.96606         12787.27246            13.58947
          2246.30078         12787.55078            13.58964
          2446.37671         12787.58105            13.58966
          2646.45386         12787.59375            13.58966
          2846.51782         12787.59668            13.58965
          3046.59546         12787.60352            13.58729
          3246.71899         12787.61133            13.58964
          3447.11279         12788.05371            13.59005
          3646.78540         12788.16504            13.59013
          3846.53076         12788.22656            13.59002
          4046.87207         12787.59766            13.58909
          4246.93066         12787.59668            13.58908
          4446.99072         12787.59668            13.59042
          4647.05029         12787.59668            13.58957
          4847.10986         12787.59668            13.58957
          5047.16943         12787.59668            13.58956
          5247.22900         12787.59668            13.57930
          5447.28857         12787.59668            13.58954
          5647.34814         12787.59668            13.58953
          5847.40771         12787.59668            13.58955
